id_quiz;id_cours;titre;nb_questions;score_max;duree_minutes
00022dc1-b69f-4f5e-95ef-921c10e345de;ba3247e8-e435-46bf-adc9-2ec4f2cc9db5;Quiz 977 - couper;15;65.82;99
000b9f57-853f-4139-b502-1feae11c74f3;72658910-ac2f-4aa9-a7b3-6366ce56b3c4;Quiz 4465 - trente;10;10.13;110
000ea9ea-f8f7-43dc-88ca-e844f05acd83;c84f67a1-f82e-4c11-bd5f-b31e07e0ab0b;Quiz 2962 - croire;10;50.32;18
0011e90f-5467-48b6-9a77-1fb4e82713b4;4ecc526f-ab69-432a-830f-15379b143df9;Quiz 1921 - aujourd'hui;18;83.14;102
0020d61e-f224-4dda-8196-112d2072fd90;f78fa3e9-5a31-4ab4-8f73-fcfe5ae59899;Quiz 2896 - sou;29;67.8;378
0021f259-b6a8-4e42-9561-acc845659c77;f85d5820-19a9-4aef-954a-9d1fc0a5daf6;Quiz 2639 - exposer;13;17.96;489
00302be2-e1a4-41f8-b9d8-4a7b568ae43e;9a7d9233-09d2-4df2-910a-887c49255f4a;Quiz 3554 - printemps;23;89.54;-9
003ea5d5-3ce0-485a-8843-e90e2d459e29;974bc992-45fe-4216-86e8-7a5892d27879;Quiz 1681 - étonner;7;49.93;216
0043a646-6997-4532-a753-262192473974;b4b0cbbe-74e0-40fc-aee0-1d070ed637f4;Quiz 863 - coûter;10;22.02;405
004462f7-3d9a-42f1-880d-5943df8da948;49d56376-ccc0-4625-a998-88e8b7b1fdc7;Quiz 3272 - exécuter;20;26.21;-7
0044ba98-a3af-41bd-b765-d2f5918d1c14;2cb8a9a4-affc-43d9-b061-c8780b15e702;Quiz 4993 - éviter;9;25.62;30
00522920-b86d-4d1f-a917-aa73dae8782c;0de333fd-9020-4a05-8ca9-67535f57baaa;Quiz 1347 - joli;16;75.07;-7
0065a561-d3db-4e14-81e1-a85a2cc80053;72e97835-30d2-4325-906f-90db8aeb29d0;Quiz 475 - depuis;20;31.13;-3
0067d55f-fa53-4591-a3d3-844afe2c01e0;bdef6929-bf12-4d7a-aacf-123035d86754;Quiz 3128 - choix;23;85.26;-2
006da032-0310-4ee7-9290-4960a174accc;fa74e92d-c086-4080-baf1-907c98ab93a5;Quiz 4180 - oui;29;94.04;40
0077938d-56a6-4f82-9792-03b7ccd7cb87;aab419a9-0b44-43a9-b277-3c03fea00674;Quiz 4031 - aider;15;60.69;-8
007f5093-3f49-46b5-8dac-ad969ec19440;0e36176b-74e6-407a-8d5a-7fb5b4d888b3;Quiz 1575 - peser;28;93.62;-5
00853b21-167d-4769-9090-1cc43cae9a45;d43e5715-07fa-4230-80fe-c5e46811bc17;Quiz 507 - vol;25;26.58;66
00853e3e-f91d-491b-813d-07eea016d486;f9c8bc7c-6466-425f-8a50-64a872d6c23a;Quiz 2435 - malade;6;14.85;-7
008d4aca-f59a-4907-9b90-8ee13f596a05;24752352-4798-4835-8018-e40b942d4a28;Quiz 3379 - facile;17;90.99;64
0093a9f5-a54a-4948-aa9d-b3c676107478;a7d15492-756c-4391-964c-44c5d2c9fca0;Quiz 516 - parent;21;25.55;25
00964625-36bd-4949-a92d-19b2c264861a;87503389-3f86-4ddb-8d63-b3e92cef426f;Quiz 2373 - tantôt;30;66.91;-5
00b50ef6-65ae-414d-ae6e-941795a6846a;0a7af64a-9e5a-4c65-abb1-4443314bb8bc;Quiz 2721 - docteur;6;98.51;-7
00bb5f4d-5d03-4a8c-b2cb-dc3758930e31;70d1cf2a-51d0-4c8c-a0cb-195762a17e43;Quiz 4557 - tromper;24;67.08;22
